"Statistic","Sex","Ethnicity","Cause of Death","Age Group","UNIT","2017","2018","2019","2020","2021","2022"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","K00-K93 Diseases of the digestive system","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","K00-K93 Diseases of the digestive system","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","K00-K93 Diseases of the digestive system","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","K00-K93 Diseases of the digestive system","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","K00-K93 Diseases of the digestive system","80 - 84 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","K00-K93 Diseases of the digestive system","85 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","K00-K93 Diseases of the digestive system","64 years and under","Number","0","0","0","6","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","K00-K93 Diseases of the digestive system","65 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","L00-L99 Diseases of the skin and subcutaneous tissue","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","L00-L99 Diseases of the skin and subcutaneous tissue","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","L00-L99 Diseases of the skin and subcutaneous tissue","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","L00-L99 Diseases of the skin and subcutaneous tissue","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","L00-L99 Diseases of the skin and subcutaneous tissue","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","L00-L99 Diseases of the skin and subcutaneous tissue","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","L00-L99 Diseases of the skin and subcutaneous tissue","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","L00-L99 Diseases of the skin and subcutaneous tissue","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","L00-L99 Diseases of the skin and subcutaneous tissue","80 - 84 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","L00-L99 Diseases of the skin and subcutaneous tissue","85 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","L00-L99 Diseases of the skin and subcutaneous tissue","64 years and under","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","L00-L99 Diseases of the skin and subcutaneous tissue","65 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","M00-M99 Diseases of musculoskeletal system and connective tissue","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","M00-M99 Diseases of musculoskeletal system and connective tissue","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","M00-M99 Diseases of musculoskeletal system and connective tissue","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","M00-M99 Diseases of musculoskeletal system and connective tissue","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","M00-M99 Diseases of musculoskeletal system and connective tissue","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","M00-M99 Diseases of musculoskeletal system and connective tissue","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","M00-M99 Diseases of musculoskeletal system and connective tissue","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","M00-M99 Diseases of musculoskeletal system and connective tissue","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","M00-M99 Diseases of musculoskeletal system and connective tissue","80 - 84 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","M00-M99 Diseases of musculoskeletal system and connective tissue","85 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","M00-M99 Diseases of musculoskeletal system and connective tissue","64 years and under","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","M00-M99 Diseases of musculoskeletal system and connective tissue","65 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","N00-N99 Diseases of genitourinary system","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","N00-N99 Diseases of genitourinary system","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","N00-N99 Diseases of genitourinary system","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","N00-N99 Diseases of genitourinary system","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","N00-N99 Diseases of genitourinary system","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","N00-N99 Diseases of genitourinary system","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","N00-N99 Diseases of genitourinary system","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","N00-N99 Diseases of genitourinary system","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","N00-N99 Diseases of genitourinary system","80 - 84 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","N00-N99 Diseases of genitourinary system","85 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","N00-N99 Diseases of genitourinary system","64 years and under","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","N00-N99 Diseases of genitourinary system","65 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","O00-O99 Complicatons of pregnancy, childbirth and puerperium","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","O00-O99 Complicatons of pregnancy, childbirth and puerperium","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","O00-O99 Complicatons of pregnancy, childbirth and puerperium","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","O00-O99 Complicatons of pregnancy, childbirth and puerperium","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","O00-O99 Complicatons of pregnancy, childbirth and puerperium","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","O00-O99 Complicatons of pregnancy, childbirth and puerperium","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","O00-O99 Complicatons of pregnancy, childbirth and puerperium","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","O00-O99 Complicatons of pregnancy, childbirth and puerperium","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","O00-O99 Complicatons of pregnancy, childbirth and puerperium","80 - 84 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","O00-O99 Complicatons of pregnancy, childbirth and puerperium","85 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","O00-O99 Complicatons of pregnancy, childbirth and puerperium","64 years and under","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","O00-O99 Complicatons of pregnancy, childbirth and puerperium","65 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","P00-P96 Certain conditions originating in the perinatal period","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","P00-P96 Certain conditions originating in the perinatal period","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","P00-P96 Certain conditions originating in the perinatal period","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","P00-P96 Certain conditions originating in the perinatal period","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","P00-P96 Certain conditions originating in the perinatal period","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","P00-P96 Certain conditions originating in the perinatal period","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","P00-P96 Certain conditions originating in the perinatal period","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","P00-P96 Certain conditions originating in the perinatal period","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","P00-P96 Certain conditions originating in the perinatal period","80 - 84 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","P00-P96 Certain conditions originating in the perinatal period","85 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","P00-P96 Certain conditions originating in the perinatal period","64 years and under","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","P00-P96 Certain conditions originating in the perinatal period","65 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","Q00-Q99 Congenital malformations, deformations and chromosomal abnormalities","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","Q00-Q99 Congenital malformations, deformations and chromosomal abnormalities","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","Q00-Q99 Congenital malformations, deformations and chromosomal abnormalities","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","Q00-Q99 Congenital malformations, deformations and chromosomal abnormalities","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","Q00-Q99 Congenital malformations, deformations and chromosomal abnormalities","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","Q00-Q99 Congenital malformations, deformations and chromosomal abnormalities","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","Q00-Q99 Congenital malformations, deformations and chromosomal abnormalities","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","Q00-Q99 Congenital malformations, deformations and chromosomal abnormalities","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","Q00-Q99 Congenital malformations, deformations and chromosomal abnormalities","80 - 84 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","Q00-Q99 Congenital malformations, deformations and chromosomal abnormalities","85 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","Q00-Q99 Congenital malformations, deformations and chromosomal abnormalities","64 years and under","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","Q00-Q99 Congenital malformations, deformations and chromosomal abnormalities","65 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","R00-R99 Symptoms, signs and abnormal clinical and laboratory findings n.e.c.","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","R00-R99 Symptoms, signs and abnormal clinical and laboratory findings n.e.c.","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","R00-R99 Symptoms, signs and abnormal clinical and laboratory findings n.e.c.","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","R00-R99 Symptoms, signs and abnormal clinical and laboratory findings n.e.c.","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","R00-R99 Symptoms, signs and abnormal clinical and laboratory findings n.e.c.","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","R00-R99 Symptoms, signs and abnormal clinical and laboratory findings n.e.c.","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","R00-R99 Symptoms, signs and abnormal clinical and laboratory findings n.e.c.","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","R00-R99 Symptoms, signs and abnormal clinical and laboratory findings n.e.c.","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","R00-R99 Symptoms, signs and abnormal clinical and laboratory findings n.e.c.","80 - 84 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","R00-R99 Symptoms, signs and abnormal clinical and laboratory findings n.e.c.","85 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","R00-R99 Symptoms, signs and abnormal clinical and laboratory findings n.e.c.","64 years and under","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","R00-R99 Symptoms, signs and abnormal clinical and laboratory findings n.e.c.","65 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","U00 – U49 Provisional assignment of new diseases of uncertain etiology or emergency use","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","U00 – U49 Provisional assignment of new diseases of uncertain etiology or emergency use","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","U00 – U49 Provisional assignment of new diseases of uncertain etiology or emergency use","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","U00 – U49 Provisional assignment of new diseases of uncertain etiology or emergency use","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","U00 – U49 Provisional assignment of new diseases of uncertain etiology or emergency use","40 - 64 years","Number","0","0","0","19","18","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","U00 – U49 Provisional assignment of new diseases of uncertain etiology or emergency use","65 - 69 years","Number","0","0","0","0","676","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","U00 – U49 Provisional assignment of new diseases of uncertain etiology or emergency use","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","U00 – U49 Provisional assignment of new diseases of uncertain etiology or emergency use","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","U00 – U49 Provisional assignment of new diseases of uncertain etiology or emergency use","80 - 84 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","U00 – U49 Provisional assignment of new diseases of uncertain etiology or emergency use","85 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","U00 – U49 Provisional assignment of new diseases of uncertain etiology or emergency use","64 years and under","Number","0","0","0","6","6","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","U00 – U49 Provisional assignment of new diseases of uncertain etiology or emergency use","65 years and over","Number","0","0","0","0","333","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","V00-Y98 External causes of injury and poisoning","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","V00-Y98 External causes of injury and poisoning","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","V00-Y98 External causes of injury and poisoning","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","V00-Y98 External causes of injury and poisoning","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","V00-Y98 External causes of injury and poisoning","40 - 64 years","Number","0","0","0","19","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","V00-Y98 External causes of injury and poisoning","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","V00-Y98 External causes of injury and poisoning","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","V00-Y98 External causes of injury and poisoning","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","V00-Y98 External causes of injury and poisoning","80 - 84 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","V00-Y98 External causes of injury and poisoning","85 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","V00-Y98 External causes of injury and poisoning","64 years and under","Number","6","0","0","6","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Asian or Asian Irish - any other Asian background","V00-Y98 External causes of injury and poisoning","65 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","All deaths","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","All deaths","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","All deaths","5 - 19 years","Number","26","0","24","0","23","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","All deaths","20 - 39 years","Number","37","19","19","39","20","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","All deaths","40 - 64 years","Number","138","129","181","141","157","172"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","All deaths","65 - 69 years","Number","714","667","610","1111","1042","952"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","All deaths","70 - 74 years","Number","1000","877","820","1562","2206","2239"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","All deaths","75 - 79 years","Number","4839","3125","2941","2632","3571","3261"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","All deaths","80 - 84 years","Number","2632","7500","4762","4762","6818","6000"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","All deaths","85 years and over","Number","14286","10000","9375","5556","7500","9091"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","All deaths","64 years and under","Number","44","36","58","50","57","50"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","All deaths","65 years and over","Number","2703","2500","2103","2165","2610","2830"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","A00-B99 Infectious and parasitic diseases","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","A00-B99 Infectious and parasitic diseases","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","A00-B99 Infectious and parasitic diseases","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","A00-B99 Infectious and parasitic diseases","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","A00-B99 Infectious and parasitic diseases","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","A00-B99 Infectious and parasitic diseases","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","A00-B99 Infectious and parasitic diseases","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","A00-B99 Infectious and parasitic diseases","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","A00-B99 Infectious and parasitic diseases","80 - 84 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","A00-B99 Infectious and parasitic diseases","85 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","A00-B99 Infectious and parasitic diseases","64 years and under","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","A00-B99 Infectious and parasitic diseases","65 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","C00-D48 Neoplasms","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","C00-D48 Neoplasms","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","C00-D48 Neoplasms","5 - 19 years","Number","0","0","24","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","C00-D48 Neoplasms","20 - 39 years","Number","18","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","C00-D48 Neoplasms","40 - 64 years","Number","69","65","90","84","52","74"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","C00-D48 Neoplasms","65 - 69 years","Number","714","667","0","556","0","476"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","C00-D48 Neoplasms","70 - 74 years","Number","1000","877","0","781","735","746"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","C00-D48 Neoplasms","75 - 79 years","Number","1613","1562","0","0","1190","1087"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","C00-D48 Neoplasms","80 - 84 years","Number","2632","2500","2381","2381","0","2000"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","C00-D48 Neoplasms","85 years and over","Number","3571","0","3125","0","2500","2273"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","C00-D48 Neoplasms","64 years and under","Number","22","15","29","22","14","21"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","C00-D48 Neoplasms","65 years and over","Number","1081","750","701","649","602","755"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","80 - 84 years","Number","0","0","0","0","0","0"
